#OK
#SQL= select * from MDR1..BDMW where snapnum = 85 and z between 680.000000 and 720.000000 and Mtot > 5e13
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2013-07-25 18:47:02.521 CEST
#QUERYTIME 310 millisec
#COLUMN 1 name=bdmId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=snapnum JDBC_TYPE=5 JDBC_TYPENAME=smallint
#COLUMN 3 name=NInCat JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 4 name=hostFlag JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 5 name=x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=vx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 9 name=vy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 10 name=vz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 11 name=np JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 12 name=Mvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 13 name=Mtot JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 14 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 15 name=Vrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 16 name=Vcir JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 17 name=conc JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 18 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 19 name=virialRatio JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 20 name=spin JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 21 name=Rrms JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 22 name=axisratio_2_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 23 name=axisratio_3_1 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 24 name=axis1_x JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 25 name=axis1_y JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 26 name=axis1_z JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 27 name=ix JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 28 name=iy JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 29 name=iz JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 30 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
bdmId,snapnum,NInCat,hostFlag,x,y,z,vx,vy,vz,np,Mvir,Mtot,Rvir,Vrms,Vcir,conc,Xoff,virialRatio,spin,Rrms,axisratio_2_1,axisratio_3_1,axis1_x,axis1_y,axis1_z,ix,iy,iz,phkey
8507793111,85,7793111,-1,137.2905,55.3226,704.2504,-103.15,-10.3,-38.67,11055,9.5870003E13,9.8519998E13,0.7534,880.2,823.9,6.73,0.0334,0.2747,0.0232,0.3884,0.6811,0.5998,0.6703,0.4041,0.6224,140,56,721,1040640065
8507793445,85,7793445,-1,194.9084,111.8283,706.9279,-146.86,-232.45,-11.46,8683,7.5300004E13,7.7680003E13,0.696,804.2,715.4,4.524,0.029,0.3454,0.0088,0.3831,0.5763,0.4549,0.8599,0.3902,-0.3289,199,114,723,1041228024
8507793676,85,7793676,8507791428,180.5768,78.841,704.527,135.86,-1758.09,-787.69,155,1.34399997E12,6.1940001E13,0.4881,191.6,225.5,62.97,0.0085,-0.1502,7.0E-4,0.1583,0.9476,0.7934,-0.7796,0.2692,0.5655,184,80,721,1040833027
8507793944,85,7793944,-1,143.7051,91.5623,709.9305,-19.44,-88.44,-54.96,8115,7.0370002E13,7.2190003E13,0.679,787.9,776.8,8.459,0.0251,0.1946,0.0097,0.3542,0.7573,0.6601,0.6023,0.0465,0.7969,147,93,726,1040793492
8507794327,85,7794327,-1,178.0746,1.3547,706.6118,-25.91,-366.17,-128.08,9288,8.0549998E13,8.7270003E13,0.7234,885.7,778.3,7.11,0.0431,0.4203,0.0445,0.3719,0.5977,0.582,0.388,0.0759,0.9185,182,1,723,1040556484
8507796413,85,7796413,-1,183.4281,86.505,709.6903,-66.95,57.41,-126.26,6423,5.5700001E13,6.2719999E13,0.6481,704.6,693.3,7.645,0.0223,0.1745,0.0133,0.326,0.8422,0.688,0.5707,0.308,0.7612,187,88,726,1040833731
8507797591,85,7797591,-1,179.9573,4.5155,710.5178,-32.41,-399.85,-409.4,6961,6.0370002E13,6.1869998E13,0.6451,765.4,699.1,6.335,0.0166,0.3075,0.0473,0.3373,0.68,0.5746,0.7118,0.4965,-0.4969,184,4,727,1040556809
8507799866,85,7799866,-1,183.9956,88.8139,714.5349,-86.2,66.76,-400.34,14888,1.29099998E14,1.36199998E14,0.8351,913.3,850.4,4.316,0.0383,0.2522,0.0219,0.4679,0.7189,0.6249,0.0035,-0.3744,0.9273,188,90,731,1040831333
8507877543,85,7877543,-1,369.6154,32.5705,683.4265,-187.1,656.89,206.21,23621,2.04799996E14,2.58599998E14,1.0303,1104.0,928.8,2.66,0.1138,0.5953,0.0521,0.6479,0.3205,0.2466,-0.684,0.1831,0.7061,378,33,699,1038527538
8507878041,85,7878041,8507877543,369.8291,32.0821,682.9919,335.13,705.73,-318.73,145,1.25799996E12,9.5419997E13,0.6355,189.1,196.4,68.05,0.0719,-0.02901,5.0E-4,0.2052,0.8557,0.6516,-0.5139,-0.1016,0.8518,378,32,699,1038527541
